,exchange_id,ticker,name,sector,industry,country,website
1122,2,JHG,Janus Henderson Group plc Ordinary Shares,Financial Services,Asset Management,United Kingdom,http://www.janushenderson.com
1123,2,JHI,John Hancock Investors Trust Capital Stock,Financial Services,Asset Management,United States,http://www.jhinvestments.com/Fund/Overview.aspx?ProductType=ClosedEnd&FundID=99003&ClassCode=CE&BackToFundTableType=Price
1124,2,JHS,John Hancock Income Securities Trust Capital Stock,Financial Services,Asset Management,United States,http://www.jhinvestments.com/Fund/Overview.aspx?ProductType=ClosedEnd&FundID=99004&ClassCode=CE&BackToFundTableType=Price
1125,2,JHX,JAMES HARDIE INDUSTRIES plc.,Basic Materials,Building Materials,Ireland,http://www.ir.jameshardie.com.au
1127,2,JILL,"J.Jill, Inc. Common Stock",Consumer Cyclical,Apparel Retail,United States,http://www.jjill.com
1131,2,JKS,JINKOSOLAR HOLDINGS CO,Technology,Solar,China,http://www.jinkosolar.com
1132,2,JLL,"Jones Lang LaSalle, Inc.",Real Estate,Real Estate Services,United States,http://www.us.jll.com
1133,2,JLS,Nuveen Mortgage and Income Fund,Financial Services,Asset Management,United States,http://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=JLS&refsrc=vu_nuveen.com/jls
1136,2,JMIA,Jumia Technologies AG,Consumer Cyclical,Internet Retail,Germany,http://group.jumia.com
1137,2,JMM,"NUVEEN MULTI-MARKET INCOME FUND, INC",Financial Services,Asset Management,United States,http://www.nuveen.com/CEF/Product/Overview.aspx?fundcode=JMM
2952,2,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers—General,United States,http://www.jnj.com
1139,2,JNPR,Juniper Networks Inc,Technology,Communication Equipment,United States,http://www.juniper.net
703,2,JOBY,"Joby Aviation, Inc.",,,,
704,2,JOE,St. Joe Company,Real Estate,Real Estate—Diversified,United States,http://www.joe.com
705,2,JOF,JAPAN SMALLER CAPITALIZATION FUND,Financial Services,Asset Management,Japan,http://funds.nomura-asset.com/japan-smaller-capitalization/
1140,2,JP,"Jupai Holdings Limited American depositary shares, each representing six ordinary shares",Financial Services,Asset Management,China,http://www.jpinvestment.cn
1142,2,JPC,Nuveen Preferred & Income Opportunities Fund,Financial Services,Asset Management,United States,http://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=JPC&refsrc=vu_nuveen.com/jpc
